Iteration,Average Joules,Date
1,368.09416175,oct-13
2,355.47947675,oct-13
3,272.84252925,oct-13
4,285.23193349999997,oct-13
5,352.39761350000003,oct-13
6,243.62713625,oct-13
7,45.63653575,oct-13
8,49.13850425,oct-13
9,54.237137,oct-13
10,57.3161165,oct-13
11,42.686248750000004,oct-13
12,42.42127975,oct-13
13,42.8843385,oct-13
14,146.25148025,oct-13
15,41.284149,oct-13
16,68.72460925,oct-13
17,46.889206,oct-13
18,46.46690375,oct-13
19,41.52285775,oct-13
20,43.2191775,oct-13
21,40.26350375,oct-13
22,40.769546500000004,oct-13
23,82.38706975,oct-13
24,45.34553525,oct-13
25,40.795395,oct-13
26,48.01971425,oct-13
27,86.936722,oct-13
28,40.086608749999996,oct-13
29,47.26956175,oct-13
30,61.700973499999996,oct-13
