Iteration,Average Joules,Date
1,302.7049715,oct-4
2,301.62358075,oct-4
3,780.7482755,oct-4
4,339.76976025,oct-4
5,458.91633625,oct-4
6,540.90653975,oct-4
7,426.96807850000005,oct-4
8,325.641617,oct-4
9,289.22465525,oct-4
10,305.44699099999997,oct-4
11,303.12562549999996,oct-4
12,348.37568650000003,oct-4
13,303.7899475,oct-4
14,322.149933,oct-4
15,326.5221405,oct-4
16,455.190689,oct-4
17,425.84590125,oct-4
18,313.71658325,oct-4
19,295.81370525,oct-4
20,446.118408,oct-4
21,336.93910225,oct-4
22,288.8135225,oct-4
23,310.171814,oct-4
24,380.3951265,oct-4
25,416.479477,oct-4
26,475.8032075,oct-4
27,483.040222,oct-4
28,325.28880325,oct-4
29,301.3409425,oct-4
30,292.5974885,oct-4
