Iteration,Average Joules,Date
1,475.69258125000005,oct-4
2,485.4072115,oct-4
3,442.03047174999995,oct-4
4,182.11059550000002,oct-4
5,61.936386,oct-4
6,420.0551605,oct-4
7,420.34182725,oct-4
8,402.18040475,oct-4
9,431.4867555,oct-4
10,405.4194335,oct-4
11,413.83210725,oct-4
12,406.16748025,oct-4
13,413.4601285,oct-4
14,381.17417924999995,oct-4
15,387.09262075,oct-4
16,435.0253295,oct-4
17,423.0838625,oct-4
18,429.41914375,oct-4
19,376.79817199999997,oct-4
20,380.21484375,oct-4
21,298.942337,oct-4
22,493.31933625,oct-4
23,464.1283875,oct-4
24,400.78135675000004,oct-4
25,378.37585475,oct-4
26,177.2335665,oct-4
27,265.023056,oct-4
28,451.750824,oct-4
29,50.9684905,oct-4
30,39.24156175,oct-4
