Iteration,Architecture,ScenarioPath,Average_Temperature,refined
1,micro,1,10129.82230522946,True
1,mono,1,36170.87769477056,True
2,micro,1,9846.674583028685,True
2,mono,1,31067.47541697133,True
3,micro,1,9691.705250596662,True
3,mono,1,29926.094749403353,True
4,micro,1,9613.17899761337,True
4,mono,1,29683.621002386648,True
5,micro,1,9505.05250596659,True
5,mono,1,29349.747494033425,True
6,micro,1,9415.51789976134,True
6,mono,1,29073.282100238677,True
7,micro,1,9362.433174224348,True
7,mono,1,28909.36682577567,True
8,micro,1,9347.510739856805,True
8,mono,1,28863.28926014321,True
9,micro,1,4590.346938775512,True
9,mono,1,28487.153061224504,True
10,micro,1,4557.457142857144,True
10,mono,1,28283.042857142867,True
11,micro,1,4538.7224489795935,True
11,mono,1,28166.77755102042,True
12,micro,1,4498.616326530614,True
12,mono,1,27917.883673469398,True
13,micro,1,4474.053061224491,True
13,mono,1,27765.446938775516,True
14,micro,1,4447.269387755103,True
14,mono,1,27599.230612244904,True
15,micro,1,4468.363265306123,True
15,mono,1,27730.136734693882,True
16,micro,1,4468.640816326532,True
16,mono,1,27731.859183673478,True
17,micro,1,4419.375510204083,True
17,mono,1,27426.124489795926,True
18,micro,1,4425.620408163267,True
18,mono,1,27464.879591836743,True
19,micro,1,4425.204081632654,True
19,mono,1,27462.295918367352,True
20,micro,1,4421.595918367348,True
20,mono,1,27439.90408163266,True
21,micro,1,4421.873469387756,True
21,mono,1,27441.62653061225,True
22,micro,1,4421.040816326532,True
22,mono,1,27436.459183673476,True
23,micro,1,4422.706122448981,True
23,mono,1,27446.793877551027,True
24,micro,1,4421.595918367348,True
24,mono,1,27439.90408163266,True
25,micro,1,4421.873469387756,True
25,mono,1,27441.62653061225,True
26,micro,1,4415.628571428572,True
26,mono,1,27402.871428571434,True
27,micro,1,4421.318367346939,True
27,mono,1,27438.181632653068,True
28,micro,1,4419.097959183675,True
28,mono,1,27424.402040816334,True
29,micro,1,4421.040816326532,True
29,mono,1,27436.459183673476,True
30,micro,1,4417.293877551021,True
30,mono,1,27413.206122448984,True
