Iteration,Architecture,ScenarioPath,Joules,refined
1,micro,1,621.5434829913406,True
1,mono,1,550.6777444058944,True
2,micro,1,753.5099373085343,True
2,mono,1,740.7205960542683,True
3,micro,1,670.4638346205894,True
3,mono,1,670.4638346205894,True
4,micro,1,624.9833465636383,True
4,mono,1,624.9833465636383,True
5,micro,1,690.3967578092373,True
5,mono,1,690.3967578092373,True
6,micro,1,641.2072034305747,True
6,mono,1,641.2072034305747,True
7,micro,1,613.3041356892579,True
7,mono,1,613.304135689258,True
8,micro,1,648.4438527065748,True
8,mono,1,648.4438527065748,True
9,micro,1,,True
9,mono,1,600.1590762487161,True
10,micro,1,,True
10,mono,1,533.1873514843073,True
11,micro,1,,True
11,mono,1,525.8763290074511,True
12,micro,1,,True
12,mono,1,540.5845888488623,True
13,micro,1,,True
13,mono,1,549.0767552871915,True
14,micro,1,,True
14,mono,1,502.92592590203697,True
15,micro,1,,True
15,mono,1,633.8044361731633,True
16,micro,1,,True
16,mono,1,709.4364464069139,True
17,micro,1,,True
17,mono,1,539.9121127248117,True
18,micro,1,,True
18,mono,1,533.9417317516716,True
19,micro,1,,True
19,mono,1,560.7243866152961,True
20,micro,1,,True
20,mono,1,548.0982163118105,True
21,micro,1,,True
21,mono,1,578.8036485657293,True
22,micro,1,,True
22,mono,1,540.5888995932471,True
23,micro,1,,True
23,mono,1,534.821123606199,True
24,micro,1,,True
24,mono,1,568.89755796914,True
25,micro,1,,True
25,mono,1,527.7256383485899,True
26,micro,1,,True
26,mono,1,522.9148476149982,True
27,micro,1,,True
27,mono,1,537.7050115997231,True
28,micro,1,,True
28,mono,1,568.7466819156672,True
29,micro,1,,True
29,mono,1,526.9195291486063,True
30,micro,1,,True
30,mono,1,524.8460610994507,True
