GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,MediaItemEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,TicketEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,SectionAllocationEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,MediaService,5,17,0,0,1,2,1,2,1,2
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,ShowService,16,52,2,2,2,11,2,3,0,3
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,ShowEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,EventCategoryEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,TicketPriceEndpoint,171,0,10,0,43,0,11,0,6,0
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,TicketRequest,11,17,0,0,4,8,1,5,1,5
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,JaxRsActivator,0,3,0,0,0,1,0,1,0,1
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,ShowMetric,75,0,2,0,18,0,8,0,7,0
ticketmonster Coverage Report monolith Scenario 2,org.jboss.examples.ticketmonster.rest,BotStatusService,45,0,8,0,12,0,8,0,4,0
